Function Name,Number of Calls,Elapsed Exclusive Time %,,,,,,,
R_Boxes,12064,37.38,,,,,,,
hex_to_int,395,0.02,,,,,,,
int_to_hex,395,0.01,,,,,,,
SubShiftRow,100,0.9,,,,,,,
mixColumns,90,2.22,,,,,,,
xor_arrays,45,0.05,,,,,,,
OCB_L_Shift,34,0.01,,,,,,,
inverseSubShiftRow,20,0.28,,,,,,,
Rot_Sub_Rcon_word,20,0.05,,,,,,,
inverseMixedColumn,18,0.71,,,,,,,
Array_1d_to_2d,12,0.02,,,,,,,
Array_2d_to_1d,12,0.02,,,,,,,
AESEncryption,10,0.26,,,,,,,
str_to_Uchar_array,8,0.24,,,,,,,
array_1d_to_str,8,0.05,,,,,,,
printf,7,0.08,,,,,,,
OCB_enc_dyc,2,0.45,,,,,,,
OCB_init,2,0.29,,,,,,,
log2,2,0.12,,,,,,,
plainntext_to_blocks,2,0.11,,,,,,,
ceil,2,0.07,,,,,,,
strncpy,2,0.07,,,,,,,
ciphertext_blocks_to_str,2,0.07,,,,,,,
round_keys_generator,2,0.03,,,,,,,
zero_padding,2,0.02,,,,,,,
main,1,0.13,,,,,,,
Tag_remover,1,0.01,,,,,,,
